名称,处方,步骤,功效,用法用量,来源,药材
润肠丸,麻子仁、桃仁（去皮尖），各一两。羌活、当归尾、大黄（煨），各半两。,上药除麻仁另研如泥外，捣罗为细末，炼蜜为丸，如梧桐子大。,治脾胃伏火，大便秘涩或干燥塞不通，全不思食，乃风结秘，血结秘，皆令闭塞，以润燥活血疏风，自然通快。,每服三五十丸，空心白汤送下。,明·方贤着《奇效良方》,麻子仁/桃仁/羌活/当归尾/大黄
润肌膏,珠子沥青120克 白黄蜡24克 乳香6克,于铁锅内，先下沥青，随手下黄蜡，乳香，次入麻油10～20毫升，俟沥青熔开，微微熬动，放大净水盆于其旁以搅药；用铁錍滴1～2点于水中，试之如硬，少入油，看硬软合宜，新绵滤于水中揉扯，以白为度。瓷器内盛，或油纸裹。,润燥生肌，活血止痛。治手足皴涩，皮肤裂开疼痛，不能迎风者。,每用先火上炙裂口子热，捻合药亦上火炙软，涂裂口上，用纸少许贴之，自然合矣。,《卫生宝鉴》卷十三,珠子沥青/白黄蜡/乳香
润神散,人参 黄耆 甘草（炙）桔梗 麦冬各等分,上药为末。,益气养阴。治劳瘵气阴两虚，憎寒发热，口干咽燥，神疲烦躁者。,每服6克，水200毫升，煎至140毫升，不拘时服。自汗，入淡竹叶、小麦同煎。,《三因极—病证方论》卷十,人参/黄耆/甘草/桔梗/麦冬
润燥泻肺汤,玉竹12克 蒌皮9克 桑皮9克 沙参12克 麦冬6克 黄芩3克 贝母6克 杏仁9克 苡仁12克,,养阴清肺。治肺火伤阴，咳而微喘，烦渴欲饮，鼻端微红，肌肤作痒。,水煎，梨汁100毫升冲服。,《医醇剩义》卷二,玉竹/蒌皮/桑皮/沙参/麦冬/黄芩/贝母/杏仁/苡仁
润燥汤,升麻 生地黄各6克 熟地黄 当归梢 生甘草 大黄（煨）桃仁泥 麻仁各3克 红花1.5克,,养血润肠。治阴虚血燥，大便不通。,上药除桃仁、麻仁另研如泥外，锉碎，都作一服，水300毫升，入桃仁、麻仁泥，煎至150毫升，去滓，空腹时稍热服。,《兰室秘藏》卷下,升麻/生地黄/熟地黄/当归梢/生甘草/大黄桃仁泥/麻仁/红花
润燥攻下汤,生首乌 鲜生地 鲜石斛 大黄 元明粉 甘草,,润燥通便。治秋燥，热绪在腑，昏谵妄笑，斑色紫黑，便闭腹胀，频转矢气，舌黑者。,水煎服。,《六因条辨》,生首乌/鲜生地/鲜石斛/大黄/元明粉/甘草
润燥安胎汤,熟地30克 山茱萸15克 益母草6克 黄芩3克 麦冬15克 生地9克 阿胶6克 五味子0.6克,,养阴润燥，清热安胎。治妇人怀妊至三四月，自觉口干舌燥，咽喉微痛，无津以润，以致胎动不安，甚则血流如经水者。,水煎服。,《辨证录》卷十二,熟地/山茱萸/益母草/黄芩/麦冬/生地/阿胶/五味子
润木汤,当归30克，白芍30克，焦白术30克，茯苓15克，金樱子15克，菊花9克，炒栀子6克，五味子3克，甘草1.5克。,,疏肝润木，清热止遗。主肝气郁结。,水煎服，每日1剂，日服2次。,《医学集成》卷三,当归/白芍/焦白术/茯苓/金樱子/菊花/炒栀子/五味子/甘草
润喉散,桔梗7.5克 粉草3克 紫河车12克 香附子9克 百药煎4.5克,上为细末。,理气解郁，化痰利咽。治气郁夜热，咽喉干燥哽塞。,敷口内。方中紫河车，即蚤休，又名草河车。,《丹溪治法心要》卷六,桔梗/粉草/紫河车/香附子/百药煎
润喉丸,甘草粉300克 硼砂15克 食盐15克玄明粉30克 酸梅750克（去核）,共研为细末，以荸荠粉250克为糊制丸，每丸重3克。,治慢性喉喑属阴虚者。,含服。,《中医耳鼻喉科学》,甘草粉/硼砂/食盐/玄明粉/酸梅
润体圆,防风（去芦及叉）一两半，白龙脑（别研）、乳香（别研如麻）、羚羊角末（别研如粉）、附子（炮.去皮、脐）、白僵蚕（微炒）、槟榔、肉豆蔻仁、沉香、蒺藜子（微炒）、丁香、蔓荆子（去白皮）、牛黄（别研如粉）、藿香叶、麻黄（去节、根）、生犀角末（别研）、雄黄（研飞）、麝香（研如粉）、木香、辰砂（研飞），各一两。茯苓（去皮）、白附子（炮）、羌活（去芦）、原蚕蛾（微炒）、人参（去芦）、肉桂（去粗皮）、川芎，各一两半。珍珠末（别研如粉）、独活（去芦），各三分。干蝎（微炒）、半夏（水煮三十沸.薄切焙干.生姜汁炒）、川乌头（炮.去皮、脐.捣碎.炒黄），各二两。白花蛇（酒浸炙.去皮.骨取肉）、天麻（去苗），各三两。琥珀（别研如粉）、腻粉（研）、白豆蔻仁，各半两。金箔（六十片为衣）。,,治诸风手足不遂，神志昏愦，语言蹇涩，口眼僻，筋脉挛急，骨节烦疼，头旋眩运，恍惚不宁，健忘怔忪，痰涎壅滞，及皮肤顽厚，麻痹不仁。,每服一圆，细嚼，温酒下，荆芥茶下亦得。如破伤中风，脊强手搐，口噤发，即以热豆淋酒化破三圆，斡口开灌下，少时再服，汗出乃愈。若小儿惊风诸，每服半圆，薄荷汤化下，不拘时。,《宋·太平惠民和剂局方》,防风/白龙脑/乳香/羚羊角末/附子/白僵蚕/槟榔/肉豆蔻仁/沉香/蒺藜子/丁香/蔓荆子/牛黄/藿香叶/麻黄/生犀角末/雄黄/麝香/木香/辰砂/茯苓/白附子/羌活/原蚕蛾/人参/肉桂/川芎/珍珠末/独活/干蝎/半夏/川乌头/白花蛇/天麻琥珀/腻粉/白豆蔻仁/金箔
润下丸,南星30克 半夏60克（各依橘红制法）黄芩30克 黄连30克 甘草（炙）30克 橘红250克（以盐15克，水化拌令得所，煮干焙燥）,为末，蒸饼为丸，如绿豆大。,化痰清火。治痰火内郁，咳嗽痰黄，胸膈痞闷，脉滑而沉者。,每服60～70丸，白汤下。,《丹溪心法》卷二,南星/半夏/黄芩/黄连/甘草/橘红
日应丹,黑锡 硫黄 水银 铁粉各30克 金箔 银箔各30片,先将锡于铁铫内溶化，次入水银，不住手搅令匀，次入硫黄诸药，同炒搅匀，离火再炒良久，都倾出，用纸衬地上，顿一宿，出火毒讫，再研令匀细，以熟软粟米饭和丸，如绿豆大。,治痫病暗风，年深不愈。,每服5～7粒，煎人参汤送下，不拘时。,《小儿卫生总微论》卷六,黑锡/硫黄/水银/铁粉/金箔/银箔
戎盐丸,戎盐 黄芩 黄柏 大黄各75克 人参 桂心各30克 甘草15克,上药研为细末，炼蜜为丸，如绿豆大。,清热凉血。治心火炽盛，舌上有孔，大如箸，出血如涌泉。,每服5～7丸，米汤送下，每日三次。每服5～7丸，米汤送下，每日三次。,《备急千金要方》卷六,戎盐/黄芩/黄柏/大黄/人参/桂心/甘草
忍冬丸,忍冬草不以多少（根、茎、花朵皆可用，洗净用之）,上药用米曲酒，于瓶内浸，以糠火煨一宿，取出晒干。入甘草少许为末，即以所浸酒为糊，丸如梧桐子大。,治消渴后期，防治痈疽；并治五痔诸漏。,每服50～100丸，酒、饮任下，不拘时。,《三因极一病证方论》卷十,忍冬/草不以
如神汤,延胡索 当归 桂心各等分,上药为末。,治腰痛。,每服6克，温酒调下。,《妇人大全良方》卷四,延胡索/当归/桂心
如神止泻圆,半夏（汤泡七次.去滑）、苍术（米泔浸.去黑皮.焙干），各半斤；川乌（米泔浸软.去皮.切作片.焙干.用盐四两，同炒.黄色为度.去盐不用.净称）四两。,,治脏腑虚寒，脾胃受湿，泄泻无度，肠鸣腹痛，不进饮食，渐致羸瘦，并宜服之。,每服五十圆，空心，食前饭饮吞下。,《宋·太平惠民和剂局方》,半夏/苍术/川乌
如神散,川椒（去目及闭口者.微炒出汗用）、露蜂房（微炙）。,为末。,治风牙、蚰牙，攻疰疼痛，日夜不止，睡卧不安，或牙动摇，连颊浮肿，不拘久近，并皆治之。,每用一钱，水一盏，入盐少许，同煎至八分，乘热漱之，冷即吐出，一服立效。,《宋·太平惠民和剂局方》,川椒/露蜂房
如神救苦散,御米壳（去顶囊.蜜炙.一两） 陈皮（去白.五钱） 虎骨（酥炙.二钱半） 乳香（研.二钱半） 没药（研.二钱半） 甘草（炙.二钱半）,,治左瘫右痪，风湿痹，走注疼，无问男子女人远近，并皆治之。,上为细末，每服三钱，水一盏，煎八分，连滓服。如煎药，一顺搅之。,明·方贤着《奇效良方》,御米壳/陈皮/虎骨/乳香/没药/甘草
如神圆,天南星（炮）、羌活、白芷、甘草（炙）、京三棱（醋浸.炮.捶）、干姜（炮）、附子（炮.去皮.脐）、半夏（汤洗二七遍.姜汁炒.令干），各等分。,,治一切冷热气，消癖气，和脾胃，补下元。,每服空心，生姜盐汤下二十圆至三十圆。患泻，二宜汤下三十圆。,《宋·太平惠民和剂局方》,天南星/羌活/白芷/甘草/京三棱/干姜/附子/半夏
如意黑白散,旱莲草90克，白芷60克，何首乌60克，沙蒺藜60克，刺蒺藜60克，紫草45克，重楼30克，紫丹参30克，苦参30克，苍术24克。,,祛风活血，除湿清热，补益肝肾。主风邪侵犯皮肤，袭入毛孔，致使气血瘀滞，毛窍闭塞，血不荣肤。,上药共为细末，收贮勿泄气，每日服3次，每次6克，开水送服。,来春茂方,旱莲草/白芷/何首乌/沙蒺藜/刺蒺藜/紫草/重楼/紫丹参/苦参/苍术
如意金黄散,姜黄160g 大黄160g 黄柏160g 苍术64g 厚朴64g 陈皮64g 甘草64g 生天南星64g 白芷160g 天花粉320g,上药晒极干燥，磨极细，过筛，瓷器收贮。,消肿止痛。用于疮疡肿痛，丹毒流注，跌扑损伤。,外用，红肿，烦热，疼痛，用清茶调敷；漫肿无头，用醋或葱酒调敷，亦可用植物油或蜂蜜调敷；一日数次。外用，红肿，烦热，疼痛，用清茶调敷；漫肿无头，用醋或葱酒调敷，亦可用植物油或蜂蜜调敷；一日数次。,《中国药典》,姜黄/大黄/黄柏/苍术/厚朴/陈皮/甘草/生天南星/白芷/天花粉
如意酒,如意草（新鲜肥大者）50g 白酒70ml,,解毒，消肿，止痛。主治痈疽，疮毒。,,《潘佩侯方》,如意草/白酒
如意通圣散,当归（去芦）陈皮（去白）麻黄（去节）甘草（炙）川芎 御米壳（去顶、膈）丁香各等分,上药用慢火炒令黄色。,治行痹，走注疼痛。,每服15克，用水300毫升，煎至150毫升，去滓温服。如腰腿走注疼痛，加虎骨、没药、乳香；如心痛，加乳香、良姜；如赤眼，加草龙胆、黄连。,《证治准绳·类方》卷四引《集验》,当归/陈皮/麻黄/甘草/川芎/御米壳/丁香
如意丸,枳实（去瓤）槟榔 橘红 半夏（汤泡七次）蓬术 京三棱 干姜（炮）黄连（去须）各60克 巴豆21粒（连壳用）,上药除巴豆外，锉如豆大，用好醋合巴豆煮干，去巴豆；余药焙，为细末，薄糊为丸，如绿豆大。,治宿食。两胁胀满，心腹疼痛，噫宿腐气；霍乱吐泻，米谷不消，脓血相杂。,每服10丸，加至15丸，食后临卧时茶清或姜汤送服。孕妇忌服。,《重订严氏济生方》,枳实槟榔/橘红/半夏/蓬术/京三棱/干姜/黄连/巴豆
如圣饼子,防风、天麻、半夏（生），各半两。天南星（洗）、干姜、川乌（去皮.尖），各一两。川芎、甘草（炙），各二两。,上药为细末，汤浸蒸饼和丸，如鸡头子大，捻作饼子晒干。,治男子、妇人气厥，上盛下虚，痰饮风寒，伏留阳经，偏正头疼，痛连脑巅，吐逆恶心，目瞑耳聋。常服清头目，消风化痰，暖胃。,每服五饼，同荆芥三、五穗细嚼，茶、酒任下，熟水亦得，不拘时候。,《宋·太平惠民和剂局方》,防风/天麻/半夏/天南星/干姜/川乌/川芎/甘草
如圣金刀散,松香（净末）210克 枯矾 生矾各45克,上药共为极细末，贮罐内密封。,治刀刃所伤，皮破筋断，血出不止。,用时掺于创口，纸盖绢扎。,《外科正宗》卷四,松香/枯矾/生矾
如圣胜金铤,硫黄（细研）、川芎、腊茶、薄荷（去枝.梗）、川乌（炮）、硝石（研）、生地黄，各二两。,,治急喉闭、缠喉风、飞扬、单蛾、双蛾、结喉、重舌、木舌，腮颔肿痛，屡经用药，不能吞水粥者。,每服，先用新汲水灌漱吐出，次嚼生薄荷五、七叶，微烂，用药一铤，同嚼极烂，以井水咽下，甚者连进三服即愈。重舌腮肿，先服一铤，次以一铤安患处，其病随药便消。,《宋·太平惠民和剂局方》,硫黄/川芎/腊茶/薄荷/川乌/硝石/生地黄
如圣汤,苦桔梗（炒）一两，甘草（炒）二两。,,治风热毒气上攻咽喉，咽痛喉痹，肿塞妨闷。及肺痈咳嗽，咯唾脓血，胸满振寒，咽干不渴，时出浊沫，气息腥臭，久久吐脓，状如米粥。又治伤寒咽痛。,每服二钱，水一盏，煎至七分，去渣，温服，小儿时时呷服，食后临卧。,《宋·太平惠民和剂局方》,苦桔梗/甘草
如圣散,蛇床子半两，黄连（去须）三分，胡粉（结砂子）一两，水银（同胡粉点水研令黑）一分。,上三味药，捣罗为散。,治肺脏风毒攻发皮肤，血气凝涩，变生疥疮瘙痒，搔之，皮起作痂，增展浸引，连滞不瘥。此药活血脉，润皮肤，散风邪，止瘙痒。,每用药时，先以盐浆水洗疮令净，后以药涂之，干即便换，不过三、五度，瘥。,《宋·太平惠民和剂局方》,蛇床子/黄连/胡粉/水银
如冰散,朴消150克（别研）蛤粉 寒水石各90克 香白芷30克 脑子3克（别研）,上药为细末，和匀。,治风邪热毒，壅滞肌肉，荣卫不宜，蕴积成肿；血涩肤腠，如丹之状，游无定处，焮肿热痛。,用时以新汲水调，稀稠适度，鸡翎涂扫，不令药干。,《杨氏家藏方》卷十二,朴消/寒水石/香白芷/脑子
入圣散,鸡内金（炒存性）飞矾 青黛各3克 蟾酥 壁钱（炒存性）各1.5克。,,治喉风。,上药为极细末，吹喉。不能开口者，吹鼻内。,《疡科选粹》卷三,鸡内金/飞矾/青黛/蟾酥/壁钱
仁熟散,人参 枳壳 五味子 桂心 山茱萸 甘菊花 茯神 枸杞子各22克 柏子仁 熟地各30克,上药研末。,治胆虚常多畏恐，不能独卧，头目不利。,每服6克，温酒调服。,《医学入门》卷七,人参/枳壳/五味子/桂心/山茱萸/甘菊花/茯神/枸杞子/柏子仁/熟地
仁寿丸,附子（炮熟，去皮、脐）30克 桂心 白茯苓 山茱萸 五味子 杜仲（去皮，姜制，炒断丝）续断 枸杞子 熟地黄（洗）巴戟（去心）菟丝子（酒浸湿，研）防风各15克 牛膝（酒浸）60克,上为末，蜜丸，如梧桐子大。,治肝肾气虚，风冷所中，筋脉瞤动，口眼喎斜。,每服30～50丸，空腹时用温酒或盐汤送下。,《三因极一病证方论》卷二,附子/桂心/白茯苓/山茱萸/五味子/杜仲/续断/枸杞子/熟地黄/巴戟/菟丝子/防风/牛膝
人马平安散,朱砂21克 雄黄4.5克 月石0.6克 梅片 台麝各0.9克 蟾酥1.2克,上药共研极细面。,治中暑，霍乱吐泻，及感受不正之气。,每用少许，鼻孔闻之。,《全国中药成药处方集》（大同方）,朱砂/雄黄/月石/梅片/台麝/蟾酥
人参黄蓍散,天门冬（去心）三十两，半夏（汤洗七次.姜汁制）、知母、桑白皮（炒）、赤芍药、黄蓍、紫菀、甘草，各十五两；白茯苓（去皮）、柴胡（去苗）、秦艽（去土）、生干地黄、地骨皮，各二十两；人参、桔梗，各十两；鳖甲（去裙.醋炙）一两。,,治虚劳客热，肌肉消瘦，四肢倦怠，五心烦热，口燥咽干，颊赤心忪，日晚潮热，夜有盗汗，胸胁不利，减食多渴，咳唾稠黏，时有脓血。,每服二大钱，以水一盏，煎至七分，去滓，温服，食后。,《宋·太平惠民和剂局方》,天门冬/半夏/知母/桑白皮/赤芍药/黄蓍/紫菀/甘草/白茯苓/柴胡/秦艽/生干地黄/地骨皮/人参/桔梗/鳖甲
人参黄耆散,人参（去芦）3O克 秦艽 茯苓各60克 知母75克 桑白皮45克 桔梗30克 紫菀45克 柴胡75克 黄耆105克 地骨皮60克 生地黄60克 半夏（汤泡七次）赤芍药各45克 天门冬（去心）90克 鳖甲90克（酥炙、去裙襕）炙甘草45克,上十六味，研为粗末。,治虚劳客热，肌肉消瘦，四肢倦怠，五心烦热，咽干颊赤，心悸潮热，盗汗食少，咳嗽脓血，胸胁不利。,每服9克，用水220毫升，煎至150毫升，去滓，空腹时服。,《卫生宝鉴》卷五,人参/秦艽/茯苓/知母/桑白皮/桔梗/紫菀/柴胡/黄耆/地骨皮/生地黄/半夏/赤芍药/天门冬/鳖甲
人参麦冬汤,人参 茯苓 甘草 杞子 五味子 麦冬,,治老人虚人患上消，口大渴者。,水煎服。,《杂病源流犀烛》卷十七,人参/茯苓/甘草/杞子/五味子/麦冬
人参麦冬散,人参 茯苓 黄芩 麦冬 知母 炙草 生地各等分 竹茹10克,,治孕妇心惊胆怯，终日烦闷不安者。,上药水煎，空腹时服。,《万氏女科》卷二,人参/茯苓/黄芩/麦冬/知母/炙草/生地/竹茹
人参鳖甲圆,杏仁（汤浸.去皮.尖.炒）、人参、当归（洗.焙）、赤芍药、甘草（炙）、柴胡（去苗）、桔梗（去芦），各一两；地骨皮、宣黄连（去须）、胡黄连，各一分；肉桂（去粗皮）、木香，各半两；麝香（别研）半分，鳖甲一枚（可重二两者.醋炙黄色为度）。,,治妇人一切虚损，肌肉瘦瘁，盗汗心忪，咳嗽上气，经脉不调，或作寒热，不思饮食。,每服五十圆，温酒送下，不拘时候。,《宋·太平惠民和剂局方》,杏仁/人参/当归/赤芍药/甘草/柴胡/桔梗/地骨皮/宣黄连/胡黄连/肉桂/木香/麝香/鳖甲
人参饮子,麦门冬0.6克 人参（去芦）当归身各0.9克 黄耆 白芍药 甘草各3克 五味子5个,上药研为粗末。,治脾胃虚弱，呼吸气促，精神短少，衄血吐血。,用水300毫升，煎至150毫升，去滓，稍热服。,《兰室秘藏》卷中,麦门冬/人参/当归身/黄耆/白芍药/甘草/五味子
人参饮,人参 芎藭 当归（切、焙）阿胶（炙）杜仲（去粗皮，炙）各60克 艾叶1握 熟干地黄（焙）甘草（炙，锉）各30克,上药八味，粗捣筛。,治妊娠胎动不安，腰腹疼痛，血下不止。,每服15克，用水220毫升，加大枣1枚，煎至150毫升，去滓温服，不拘时。,《圣济总录》,人参/芎藭/当归/阿胶/杜仲/艾叶/熟干地黄/甘草
人参顺气散,干姜、人参，各一两。川芎、甘草（炙）、苦梗（去芦）、厚朴（去粗皮.姜汁制）、白术、陈皮（洗.去白）、白芷、麻黄（去节），各四两。干葛（去粗皮）三两半。,上药捣罗为细末。,治丈夫、妇人风虚气弱，荣卫不和，肢节疼痛，身体沉重，头目旋晕，肩背拘急，手足冷麻，半身不遂，口眼斜，痰涎不利，言语蹇涩；或脾胃不和，心腹刺痛，胸膈痞满，倦怠少力，霍乱转筋，吐泻不止，胎前产后，并宜服之。,每服二钱，水一盏，姜三片，枣一枚，薄荷五、七叶，同煎八分，不拘时。如伤风感冷，头疼腰重，咳嗽鼻塞，加葱白煎。,《宋·太平惠民和剂局方》,干姜/人参/川芎/甘草/苦梗/厚朴/白术/陈皮/白芷/麻黄/干葛三
人参门冬汤,人参 麦门冬 小麦 茯苓各3克 竹茹1团 白芍2.4克 甘草1.5克,,治虚热烦渴。,水煎服。,《医学人门》卷七,人参/麦门冬/小麦/茯苓/竹茹/白芍/甘草
人参酒,人参30g 白酒1200ml,,补益中气，温通血脉。主治虚劳羸瘦，气短懒言，脉软而无力，四肢倦怠，脾胃不健，面色萎黄，喜暖畏寒，自汗乏力。,每次10～30ml，每日1次（上午服用为佳）。4.将其密封，冷却，存放备用。,《本草纲目》,人参/白酒
人参轻骨散,贝母（去心）、白茯苓（焙）、半夏（煮），各一两。枳壳（去瓤.炒）二两半，苍术（浸一宿）六两，人参、白术（焙）、白芷（不见火）、陈皮（去白）、秦艽、赤芍药，各二两。川芎、当归（去芦.焙）、肉桂（去粗皮）、干姜（炮），各一两半。柴胡（去芦）、麻黄（去根.节），各三两。桔梗（去芦）、甘草、厚朴，各四两（姜汁浸）。,,解利四时伤寒，头痛壮热，项背拘急，骨节烦疼，憎寒恶风，肢体困倦，大便不调，小便赤涩，呕逆烦渴；或伤风感寒，头痛体热，鼻塞声重，咳嗽痰涎；及山岚瘴气，时行疫疠，潮热往来，及疗五劳七伤，中气滞，心腹痞闷，停痰呕逆，冷气奔冲，攻注刺痛。又治妇人血气撮痛，经候不调，并宜服之。,每服三钱，水一盏，生姜三片，同煎至七分，通口稍热服。身体倦怠加乌梅一个，咳嗽加枣二枚，同煎，不拘时。,《宋·太平惠民和剂局方》,贝母/白茯苓/半夏/枳壳/苍术/人参/白术/白芷/陈皮/秦艽/赤芍药/川芎/当归/肉桂/干姜/半柴胡/麻黄/桔梗/甘草/厚朴
人参车前汤,人参 车前子,,治正气亏虚，膀胱气弱，小便不利者。,上药二味，水煎服。,《症因脉治》卷四,人参/车前子
人参败毒散,柴胡（去芦.二钱），川芎（一钱半），前胡（去芦）、甘草（炙）、人参（去芦）、桔梗（去芦）、羌活（去苗）、独活（去苗）、茯苓（去皮）、枳壳（麸炒），各一钱。薄荷少许。,上药十味，研为粗末。,治伤寒头痛，壮热恶寒及风痰咳嗽，鼻塞重重，身体疼痛。,上作一服，水二钟，生姜五片，煎至一钟，不拘时服。柴胡（去苗）、甘草、桔梗、人参（去芦）、川芎、茯苓（去皮）、枳壳（去瓤.麸炒）、前胡（去苗.洗）、羌活（去苗）、独活（去苗），右十味，各三十两。,明·方贤着《奇效良方》,柴胡/川芎/前胡/甘草/人参/桔梗/羌活/独活/茯苓/枳壳/薄荷
人参豆蔻散,人参 肉豆蔻 干姜 厚朴 甘草 陈橘皮各30克 川芎 桂心 诃子 北茜香各15克,上药研为细末。,治妇人久泄不止。,每服9克，用水150毫升，加生姜3片，大枣1枚。煎至90毫升服。,《妇人大全良方》卷八,人参/肉豆蔻/干姜/厚朴/甘草/陈橘皮/川芎/桂心/诃子/北茜香
人参诃子圆,缩砂仁、诃子（去核）、藿香（去梗）、龙脑、薄荷叶，各一两；百药煎、葛粉，各八两；甘草五两，乌梅肉三两，人参一两二钱。,,治大人、小儿上膈热，或伤风感冷，搏于肺经，语声不出，痰涎不利，咳嗽喘急，日夜不止，咯唾稠粘。,每服一、二圆，含化咽津，食后，临卧。,《宋·太平惠民和剂局方》,缩砂仁/诃子/藿香/龙脑/薄荷叶/百药煎/葛粉/甘草/乌梅肉/人参
鼠粘子解毒汤,鼠粘子（炒，研）桔梗 青皮 升麻 黄芩 花粉 甘草（生）元参 桅子（生，研）黄连 连翘（去心）葛根 白术（土炒）防风 生地各等分,,清热解毒，利咽消肿。治酒毒喉闭。由酒毒蒸于心、脾二经，热壅咽喉，喉肿色黄，其人面赤，目睛上视。,水煎，食后服。,《医宗金鉴》卷六十六,鼠粘子/桔梗/青皮/升麻/黄芩/花粉/甘草元参/桅子黄连/连翘葛根/白术/防风/生地
鼠粘子汤,鼠粘子120克（炒香）甘草30克（炙）防风15克 荆芥穗60克,上药捣罗为末。,辛散风寒，透疹利咽。治疹痘欲出未透，热气上攻咽喉，眼赤心烦；麻疹既出，为风寒所遏，毒气内攻而又没者。春、夏间常服，可免生疮疖。,每服6克，沸汤调服，饭后、临卧时服，日服三次。每服6克，沸汤调服，饭后、临卧时服，日服三次。,《类证活人书》卷二十一,鼠粘子/荆芥穗
黍米粥,黍米40克（净淘）阿胶30克（炙，为末）,,治年老体弱，下痢不止，日渐黄瘦无力，纳食减少。,上煮粥，临熟下阿胶末调和，空腹时食之。,《寿亲养老新书》卷一,黍米/阿胶
麝香鹿茸圆,鹿茸（火燎去毛.酒浸.炙）七十两，熟干地黄（净洗.酒浸.蒸.焙）十斤，附子（炮.去皮.脐）一百四十个，牛膝（去苗.酒浸一宿.焙）一斤四两，杜仲（去粗皮.炒去丝）三斤半，五味子二斤，山药四斤，肉苁蓉（酒浸一宿）三斤。,,益真气，补虚惫。治下焦伤竭，脐腹绞痛，两胁胀满，饮食减少，肢节烦疼，手足麻痹，腰腿沉重，行步艰难，目视茫茫，夜梦鬼交，遗泄失精，神情不爽，阳事不举，小便滑数，气虚肠鸣，大便自利，虚烦盗汗，津液内燥，并宜服。,每服二十粒，温酒下，盐汤亦得，食前服。嘉定十年十二月申明改正,《宋·太平惠民和剂局方》,鹿茸/熟干地黄/附子/牛膝/杜仲/五味子/山药/肉苁蓉
麝香祛痛搽剂,麝香3.3g 红花10g 樟脑300g 独活10g 冰片200g 龙血竭3.3g 薄荷脑100g 地黄200g 三七3.3g,,活血祛瘀，疏通经络，消肿止痛。用于各种跌打损伤，瘀血肿痛，风湿瘀阻，关节疼痛。,外用，涂搽患处，按摩5～10分钟至患处发热，一日2～3次；软组织扭伤严重或有出血者，将药液浸湿的棉垫敷于患处。外用，涂搽患处，按摩5～10分钟至患处发热，一日2～3次；软组织扭伤严重或有出血者，将药液浸湿的棉垫敷于患处。,《中国药典》,麝香/红花/樟脑/独活/冰片/龙血竭/薄荷脑/地黄/三七
麝香散,麝香 水蛭各30克,上将水蛭锉碎，炒至烟出，研为末，入麝香再研匀。,治跌打损伤。,每次0.6克，用酒调服。当下蓄血，未效再服。其应如神。,《世医得效方》卷十八,麝香/水蛭
麝香天麻圆,紫背干浮萍草（去土）四两，麻黄（去根.节）二两，防风（去芦.叉）、天麻（去芦.郓州者佳），各一两。,,治风痹手足不随，或少力颤掉，血脉凝涩，肌肉顽痹，遍身疼痛，转侧不利，筋脉拘挛，不得屈伸。,每服一圆，以温酒或荆芥汤化下，空心服，患处微汗为效。治风痹手足不随，或少力颤掉，血脉凝涩，肌肉顽痹，遍身疼痛，转侧不利，筋脉拘挛，不得屈伸。,《宋·太平惠民和剂局方》,紫背干/浮萍草/麻黄/防风/天麻
麝香大戟圆,葫芦巴（炒）四两，大戟（去皮.炒黄）半两，麝香（别研）一钱，茴香（舶上者）、川楝子，各六两；槟榔（刮去底.细切.不见火）、诃子（炮.去核.酒浸.蒸.焙干用）、附子（炮.去皮.脐）、木香，各一两。,,治阴俉肿胀，或小肠气痛。,空心，温酒下五、七圆至十圆，姜汤亦得。潮发疼痛，炒姜热酒下十五圆。,《宋·太平惠民和剂局方》,葫芦巴/大戟/麝香/茴香/川楝子/槟榔/诃子/附子/木香
麝香回阳膏,麝香 冰片 红花 儿茶 乳香 没药 黄连 黄柏 白芷 血竭 独角莲 自然铜 黄芩,制成膏药，每粒1.2克。,活血消肿，解毒止痛，化腐生肌。治搭背、偏口、对口、臁疮、水火烫伤、脚湿气、黄水疮及腰痛、手外伤等。,先用温水洗净患处，将膏药浸入温水处，片时取出，捏成药片，贴在患处，外敷药布。药膏切忌火烘，以免炭化。,《常用中成药》（天津方）,麝香/冰片/红花/儿茶/乳香/没药/黄连/黄柏/白芷/血竭/独角莲/自然铜/黄芩
麝香保心丸,麝香、人参提取物、牛黄、肉桂、苏合香、蟾酥、冰片,,芳香温通，益气强心。用于心肌缺血引起的心绞痛、胸闷及心肌梗塞。,口服，一次1～2丸，一日3次；或症状发作时服用。口服，一次1～2丸，一日3次；或症状发作时服用。,《中国药典》,麝香/人参/提取物/牛黄/肉桂/苏合香/蟾酥/冰片
麝香丸,麝香（研）15克 秦艽（去土）120克 独活（去芦头）白术 槟榔各60克,上药五味，除麝香外，研为细末，入麝香研匀，炼蜜和杵千百下，丸如龙眼大。,治风湿外侵，身体疼痛，头目不利，肩背拘急，肌肉酸痹，痰涎壅滞，胸膈满闷。,每服1丸，细嚼，温酒或腊茶清送下，不拘时。,《圣济总录》卷十,麝香/秦艽/独活/白术/槟榔
